week_num,commits,prs_merged,comments,issues_opened,active_days,duration,active_days_norm,contribution_index,contributor_id,project,project_type,month_num
0,1,0,0,0,1,0.25,0.14285714285714285,0.29642857142857143,wiredtiger_wiredtiger_alexg_at_wiredtiger.com,wiredtiger/wiredtiger,OSS,0
1,4,0,0,0,3,0.5,0.42857142857142855,1.1142857142857143,wiredtiger_wiredtiger_alexg_at_wiredtiger.com,wiredtiger/wiredtiger,OSS,0
2,7,0,0,0,3,0.75,0.42857142857142855,1.8892857142857142,wiredtiger_wiredtiger_alexg_at_wiredtiger.com,wiredtiger/wiredtiger,OSS,0
3,7,0,0,0,3,1.0,0.42857142857142855,1.9142857142857144,wiredtiger_wiredtiger_alexg_at_wiredtiger.com,wiredtiger/wiredtiger,OSS,0
4,15,0,0,0,5,1.0,0.7142857142857143,3.9571428571428573,wiredtiger_wiredtiger_alexg_at_wiredtiger.com,wiredtiger/wiredtiger,OSS,1
5,8,0,0,0,4,1.0,0.5714285714285714,2.185714285714286,wiredtiger_wiredtiger_alexg_at_wiredtiger.com,wiredtiger/wiredtiger,OSS,1
6,18,0,0,0,5,1.0,0.7142857142857143,4.707142857142856,wiredtiger_wiredtiger_alexg_at_wiredtiger.com,wiredtiger/wiredtiger,OSS,1
7,4,0,0,0,4,1.0,0.5714285714285714,1.1857142857142857,wiredtiger_wiredtiger_alexg_at_wiredtiger.com,wiredtiger/wiredtiger,OSS,1
8,26,0,0,0,5,1.0,0.7142857142857143,6.707142857142856,wiredtiger_wiredtiger_alexg_at_wiredtiger.com,wiredtiger/wiredtiger,OSS,2
9,8,0,0,0,5,1.0,0.7142857142857143,2.2071428571428573,wiredtiger_wiredtiger_alexg_at_wiredtiger.com,wiredtiger/wiredtiger,OSS,2
10,11,0,0,0,6,1.0,0.8571428571428571,2.9785714285714286,wiredtiger_wiredtiger_alexg_at_wiredtiger.com,wiredtiger/wiredtiger,OSS,2
11,4,0,0,0,3,1.0,0.42857142857142855,1.1642857142857144,wiredtiger_wiredtiger_alexg_at_wiredtiger.com,wiredtiger/wiredtiger,OSS,2
12,5,0,0,0,2,1.0,0.2857142857142857,1.392857142857143,wiredtiger_wiredtiger_alexg_at_wiredtiger.com,wiredtiger/wiredtiger,OSS,3
13,5,0,0,0,2,1.0,0.2857142857142857,1.392857142857143,wiredtiger_wiredtiger_alexg_at_wiredtiger.com,wiredtiger/wiredtiger,OSS,3
14,18,0,0,0,5,1.0,0.7142857142857143,4.707142857142856,wiredtiger_wiredtiger_alexg_at_wiredtiger.com,wiredtiger/wiredtiger,OSS,3
15,2,0,0,0,2,1.0,0.2857142857142857,0.6428571428571428,wiredtiger_wiredtiger_alexg_at_wiredtiger.com,wiredtiger/wiredtiger,OSS,3
16,4,0,0,0,2,1.0,0.2857142857142857,1.142857142857143,wiredtiger_wiredtiger_alexg_at_wiredtiger.com,wiredtiger/wiredtiger,OSS,4
17,15,0,0,0,5,1.0,0.7142857142857143,3.9571428571428573,wiredtiger_wiredtiger_alexg_at_wiredtiger.com,wiredtiger/wiredtiger,OSS,4
18,8,0,0,0,3,1.0,0.42857142857142855,2.164285714285714,wiredtiger_wiredtiger_alexg_at_wiredtiger.com,wiredtiger/wiredtiger,OSS,4
19,7,0,0,0,3,1.0,0.42857142857142855,1.9142857142857144,wiredtiger_wiredtiger_alexg_at_wiredtiger.com,wiredtiger/wiredtiger,OSS,4
20,11,0,0,0,6,1.0,0.8571428571428571,2.9785714285714286,wiredtiger_wiredtiger_alexg_at_wiredtiger.com,wiredtiger/wiredtiger,OSS,5
21,0,0,0,0,0,0.75,0.0,0.07500000000000001,wiredtiger_wiredtiger_alexg_at_wiredtiger.com,wiredtiger/wiredtiger,OSS,5
22,0,0,0,0,0,0.5,0.0,0.05,wiredtiger_wiredtiger_alexg_at_wiredtiger.com,wiredtiger/wiredtiger,OSS,5
23,12,0,0,0,4,0.5,0.5714285714285714,3.1357142857142857,wiredtiger_wiredtiger_alexg_at_wiredtiger.com,wiredtiger/wiredtiger,OSS,5
24,6,0,0,0,3,0.5,0.42857142857142855,1.6142857142857143,wiredtiger_wiredtiger_alexg_at_wiredtiger.com,wiredtiger/wiredtiger,OSS,6
25,6,0,0,0,2,0.75,0.2857142857142857,1.6178571428571429,wiredtiger_wiredtiger_alexg_at_wiredtiger.com,wiredtiger/wiredtiger,OSS,6
26,8,0,0,0,3,1.0,0.42857142857142855,2.164285714285714,wiredtiger_wiredtiger_alexg_at_wiredtiger.com,wiredtiger/wiredtiger,OSS,6
27,1,0,0,0,1,1.0,0.14285714285714285,0.37142857142857144,wiredtiger_wiredtiger_alexg_at_wiredtiger.com,wiredtiger/wiredtiger,OSS,6
28,8,0,0,0,4,1.0,0.5714285714285714,2.185714285714286,wiredtiger_wiredtiger_alexg_at_wiredtiger.com,wiredtiger/wiredtiger,OSS,7
29,6,0,0,0,2,1.0,0.2857142857142857,1.642857142857143,wiredtiger_wiredtiger_alexg_at_wiredtiger.com,wiredtiger/wiredtiger,OSS,7
30,3,0,0,0,1,1.0,0.14285714285714285,0.8714285714285714,wiredtiger_wiredtiger_alexg_at_wiredtiger.com,wiredtiger/wiredtiger,OSS,7
31,0,0,0,0,0,0.75,0.0,0.07500000000000001,wiredtiger_wiredtiger_alexg_at_wiredtiger.com,wiredtiger/wiredtiger,OSS,7
32,11,0,0,0,4,0.75,0.5714285714285714,2.910714285714286,wiredtiger_wiredtiger_alexg_at_wiredtiger.com,wiredtiger/wiredtiger,OSS,8
33,2,0,0,0,2,0.75,0.2857142857142857,0.6178571428571429,wiredtiger_wiredtiger_alexg_at_wiredtiger.com,wiredtiger/wiredtiger,OSS,8
34,3,0,0,0,3,0.75,0.42857142857142855,0.8892857142857142,wiredtiger_wiredtiger_alexg_at_wiredtiger.com,wiredtiger/wiredtiger,OSS,8
35,3,0,0,0,2,1.0,0.2857142857142857,0.8928571428571428,wiredtiger_wiredtiger_alexg_at_wiredtiger.com,wiredtiger/wiredtiger,OSS,8
36,4,0,0,0,1,1.0,0.14285714285714285,1.1214285714285714,wiredtiger_wiredtiger_alexg_at_wiredtiger.com,wiredtiger/wiredtiger,OSS,9
37,6,0,0,0,4,1.0,0.5714285714285714,1.6857142857142857,wiredtiger_wiredtiger_alexg_at_wiredtiger.com,wiredtiger/wiredtiger,OSS,9
38,6,0,0,0,3,1.0,0.42857142857142855,1.6642857142857144,wiredtiger_wiredtiger_alexg_at_wiredtiger.com,wiredtiger/wiredtiger,OSS,9
39,11,0,0,0,4,1.0,0.5714285714285714,2.935714285714286,wiredtiger_wiredtiger_alexg_at_wiredtiger.com,wiredtiger/wiredtiger,OSS,9
40,6,0,0,0,1,1.0,0.14285714285714285,1.6214285714285714,wiredtiger_wiredtiger_alexg_at_wiredtiger.com,wiredtiger/wiredtiger,OSS,10
41,6,0,0,0,4,1.0,0.5714285714285714,1.6857142857142857,wiredtiger_wiredtiger_alexg_at_wiredtiger.com,wiredtiger/wiredtiger,OSS,10
42,8,0,0,0,3,1.0,0.42857142857142855,2.164285714285714,wiredtiger_wiredtiger_alexg_at_wiredtiger.com,wiredtiger/wiredtiger,OSS,10
43,14,0,0,0,5,1.0,0.7142857142857143,3.7071428571428573,wiredtiger_wiredtiger_alexg_at_wiredtiger.com,wiredtiger/wiredtiger,OSS,10
44,7,0,0,0,5,1.0,0.7142857142857143,1.9571428571428573,wiredtiger_wiredtiger_alexg_at_wiredtiger.com,wiredtiger/wiredtiger,OSS,11
45,0,0,0,0,0,0.75,0.0,0.07500000000000001,wiredtiger_wiredtiger_alexg_at_wiredtiger.com,wiredtiger/wiredtiger,OSS,11
46,5,0,0,0,2,0.75,0.2857142857142857,1.3678571428571429,wiredtiger_wiredtiger_alexg_at_wiredtiger.com,wiredtiger/wiredtiger,OSS,11
47,0,0,0,0,0,0.5,0.0,0.05,wiredtiger_wiredtiger_alexg_at_wiredtiger.com,wiredtiger/wiredtiger,OSS,11
48,0,0,0,0,0,0.25,0.0,0.025,wiredtiger_wiredtiger_alexg_at_wiredtiger.com,wiredtiger/wiredtiger,OSS,12
49,4,0,0,0,2,0.5,0.2857142857142857,1.092857142857143,wiredtiger_wiredtiger_alexg_at_wiredtiger.com,wiredtiger/wiredtiger,OSS,12
50,4,0,0,0,2,0.5,0.2857142857142857,1.092857142857143,wiredtiger_wiredtiger_alexg_at_wiredtiger.com,wiredtiger/wiredtiger,OSS,12
51,2,0,0,0,1,0.75,0.14285714285714285,0.5964285714285715,wiredtiger_wiredtiger_alexg_at_wiredtiger.com,wiredtiger/wiredtiger,OSS,12
52,0,0,0,0,0,0.75,0.0,0.07500000000000001,wiredtiger_wiredtiger_alexg_at_wiredtiger.com,wiredtiger/wiredtiger,OSS,13
53,9,0,0,0,3,0.75,0.42857142857142855,2.3892857142857142,wiredtiger_wiredtiger_alexg_at_wiredtiger.com,wiredtiger/wiredtiger,OSS,13
